1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
0	W	115
4	J	168
4	R	168
4	W	168
0	R	168
4	J	190
4	R	190
4	W	190
0	R	190
4	J	365
4	R	365
4	W	365
0	R	365
4	J	376
4	R	376
4	W	376
0	R	376
4	J	399
4	R	399
4	W	400
0	R	400
4	J	414
4	R	414
4	W	414
0	R	414
4	J	436
4	R	436
4	W	436
0	R	436
4	J	453
4	R	453
4	W	453
0	R	453
4	J	500
4	R	500
4	W	500
0	R	500
4	J	513
4	R	513
4	W	513
0	R	513
4	J	545
4	R	545
4	W	545
0	R	545
4	J	554
4	R	554
4	W	554
0	R	554
4	J	607
4	R	607
4	W	607
0	R	607
4	J	618
4	R	618
4	W	618
0	R	619
4	J	626
4	R	626
4	W	631
0	R	631
4	J	642
4	R	642
4	W	642
0	R	642
4	J	700
4	R	700
4	W	705
0	R	705
4	J	719
4	R	719
4	W	719
0	R	719
4	J	751
4	R	751
6	N	752
6	J	753
4	W	753
6	R	753
7	N	754
7	J	755
8	N	755
8	J	756
9	N	756
9	J	756
10	N	756
10	J	757
6	E	757
4	J	757
10	R	757
10	J	772
9	R	772
9	J	787
8	R	787
8	J	802
7	R	802
7	W	802
4	R	802
11	N	802
11	J	803
4	W	803
11	R	803
4	J	805
11	E	806
4	R	806
4	W	806
10	R	806
10	J	821
9	R	821
9	J	836
8	R	836
8	J	851
10	R	851
10	J	866
9	R	866
9	J	881
8	R	881
8	J	896
10	R	896
7	J	911
10	J	911
7	R	911
7	W	911
9	R	911
9	J	926
8	R	926
4	J	930
8	J	941
4	R	941
4	W	941
10	R	941
4	J	949
10	J	956
4	R	956
12	N	956
12	J	957
4	W	957
9	R	957
9	J	972
8	R	972
8	J	987
12	R	987
13	N	988
13	J	988
14	N	988
14	J	989
15	N	989
15	J	990
16	N	990
16	J	990
12	E	991
4	J	991
4	R	991
17	N	991
17	J	992
4	W	992
16	R	992
16	J	1007
15	R	1007
7	J	1022
15	J	1022
7	R	1022
7	W	1022
14	R	1022
14	J	1037
13	R	1037
13	W	1037
17	R	1037
4	J	1039
17	E	1039
4	R	1039
4	W	1040
16	R	1040
16	J	1055
15	R	1055
15	J	1070
14	R	1070
14	J	1085
10	R	1085
10	J	1100
9	R	1100
9	J	1115
8	R	1115
4	J	1127
7	J	1130
8	J	1130
7	R	1130
7	W	1130
4	R	1130
4	W	1130
16	R	1130
4	J	1136
13	J	1145
16	J	1145
4	R	1145
4	W	1145
13	R	1145
13	W	1145
15	R	1145
4	J	1145
15	J	1160
4	R	1160
4	W	1160
14	R	1160
4	J	1161
14	J	1175
4	R	1175
4	W	1175
10	R	1175
4	J	1178
10	W	1185
4	R	1185
18	N	1186
18	J	1187
4	W	1187
9	R	1187
9	W	1197
8	R	1197
8	J	1212
18	R	1212
18	E	1216
4	J	1216
4	R	1216
19	N	1216
19	J	1217
4	W	1217
19	R	1217
4	J	1219
19	E	1220
4	R	1220
4	W	1220
16	R	1221
4	J	1223
7	J	1236
16	J	1236
7	R	1236
7	W	1236
4	R	1236
4	W	1236
15	R	1236
4	J	1245
13	J	1251
15	J	1251
13	R	1251
13	W	1251
4	R	1251
4	W	1251
14	R	1251
4	J	1259
14	J	1266
4	R	1266
4	W	1266
8	R	1266
4	J	1274
8	J	1281
4	R	1281
20	N	1281
20	J	1282
4	W	1282
20	R	1282
